{'ID': '', 'x': 0.74, 'y': -0.825, 'yaw': 4.109, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.692, 'y': -0.895, 'yaw': 3.959, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.633, 'y': -0.957, 'yaw': 3.91, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.572, 'y': -1.016, 'yaw': 4.026, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.519, 'y': -1.082, 'yaw': 4.129, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.472, 'y': -1.153, 'yaw': 4.098, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.423, 'y': -1.222, 'yaw': 4.021, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.369, 'y': -1.288, 'yaw': 3.987, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.312, 'y': -1.351, 'yaw': 4.04, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.259, 'y': -1.418, 'yaw': 4.14, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.213, 'y': -1.489, 'yaw': 4.111, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.165, 'y': -1.559, 'yaw': 4.015, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.11, 'y': 0.732, 'yaw': 0.005, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.152, 'y': -1.575, 'yaw': 3.622, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.133, 'y': -1.585, 'yaw': 3.857, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.117, 'y': -1.599, 'yaw': 4.327, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.111, 'y': 0.713, 'yaw': 6.225, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.109, 'y': -1.618, 'yaw': 4.822, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.114, 'y': 0.694, 'yaw': 6.25, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.112, 'y': -1.639, 'yaw': 5.203, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.119, 'y': 0.675, 'yaw': 6.252, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.122, 'y': -1.658, 'yaw': 5.28, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.124, 'y': 0.656, 'yaw': 0.002, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.133, 'y': -1.676, 'yaw': 5.271, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.128, 'y': 0.637, 'yaw': 0.092, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.144, 'y': -1.693, 'yaw': 5.461, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.131, 'y': 0.618, 'yaw': 0.085, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
